input,target,source
"sleep_avg_3=5.97 mood_avg_3=2.33 sleep_slope=0.087 mood_slope=-0.291 risk=53.70 trend=-0.178 user_text=My wife and mother are having tense disagreements. In the past, they’ve had minor differences. For example, my wife would complain to me my mother is too overbearing; my mother would complain my wife is lazy. However, it","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>What you are describing is something psychologists have termed &#34;triangulation&#34; which is what happens when one.",counselchat_app_voice
"sleep_avg_3=6.09 mood_avg_3=3.67 sleep_slope=-0.249 mood_slope=0.300 risk=60.87 trend=-0.237 user_text=I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Hi.",counselchat_app_voice
"sleep_avg_3=7.08 mood_avg_3=1.85 sleep_slope=-0.077 mood_slope=0.179 risk=48.66 trend=-0.094 user_text=I have secrets in my mind, and I don't know what to do with them. I don't want to tell my wife and mom because I don't want to hurt them. But I'm not sure how long that I can keep the secret to myself. What should I do? ","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>It sounds like keeping the secrets has become a problem for you now.",counselchat_app_voice
sleep_avg_3=6.37 mood_avg_3=3.04 sleep_slope=-0.088 mood_slope=-0.193 risk=40.91 trend=0.023 user_text=I am extremely possessive in my relationships and this is hurting my friendships. How can I fix my underlying issues?,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Hi there.",counselchat_app_voice
sleep_avg_3=3.51 mood_avg_3=2.52 sleep_slope=-0.128 mood_slope=-0.028 risk=67.01 trend=-0.195 user_text=I had a head injury a few years ago and my mind races all the time. I have trouble sleeping and have a lot of anxiety. Every medicine I have been on my body rejects; I get sick to my stomach and get blisters in my mouth.,"Low sleep is the main concern right now, so prioritize rest structure and recovery habits. <p>You didn't say what or how many medications you've tried.",counselchat_app_voice
sleep_avg_3=4.89 mood_avg_3=1.85 sleep_slope=0.282 mood_slope=-0.254 risk=51.51 trend=-0.010 user_text=I want a secure relationship with someone that wants to be with me and who will actually put effort into it. I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate ,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>It is a good thing that you have recognized that you have been in some unhealthy relationships and that you are wanti.",counselchat_app_voice
sleep_avg_3=5.48 mood_avg_3=1.86 sleep_slope=0.084 mood_slope=0.120 risk=35.49 trend=0.160 user_text=I easily recognize this but have no control over it and need suggestions for managing my anger.,"Current pattern appears stable, with no major short-term disruption. <p>I suggest that you work on emotional awareness.",counselchat_app_voice
"sleep_avg_3=4.28 mood_avg_3=2.46 sleep_slope=-0.018 mood_slope=-0.074 risk=49.23 trend=-0.255 user_text=It takes me a long time to fall asleep; I’d estimate about two hours. I often have nightmares, starting with being eaten by a monster, and I often wake up frightened and unable to breathe. I believe I started losing slee","Sleep remains below target, so start with one practical sleep-support action today. <p>First of all, exercise is always beneficial for your physical and emotional health.",counselchat_app_voice
sleep_avg_3=4.85 mood_avg_3=3.58 sleep_slope=0.027 mood_slope=0.268 risk=38.20 trend=0.056 user_text=What do you do when a therapist and a parent drugs a child and makes up lies in order to stop the other parent's custody visitation?,"Current pattern appears stable, with no major short-term disruption. <p>I will admit I am confused about this question.",counselchat_app_voice
sleep_avg_3=5.27 mood_avg_3=3.25 sleep_slope=-0.120 mood_slope=-0.113 risk=56.54 trend=-0.305 user_text=They're calling me names like hypocrite and a baby even when they act in the same manner as I do. I'm tired of being called names. What should I do?,"Current pattern appears stable, with no major short-term disruption. <p>It sounds like your confused as to why your friends would be calling you a hypocrite when they act in the same manner.",counselchat_app_voice
"sleep_avg_3=5.90 mood_avg_3=2.04 sleep_slope=0.300 mood_slope=0.049 risk=50.57 trend=-0.045 user_text=Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family. However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without ","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>First of all, my heart goes out to you.",counselchat_app_voice
"sleep_avg_3=4.93 mood_avg_3=3.32 sleep_slope=-0.095 mood_slope=0.130 risk=66.26 trend=-0.197 user_text=I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. I’m also noticing increased irritability and experiencin","Low sleep is the main concern right now, so prioritize rest structure and recovery habits. <p>It sounds as if you may be experiencing a bout of anxiety and/or depression.",counselchat_app_voice
"sleep_avg_3=7.78 mood_avg_3=1.65 sleep_slope=0.127 mood_slope=-0.041 risk=74.01 trend=-0.135 user_text=I have no sex drive due to medical issues. I’ve shut down completely and closed everyone out. I’ve even told my husband that I wanted a divorce since that’s what I thought he wanted to hear. However, it devastated me whe","Low mood is the dominant concern in this window, so use gentle routines and supportive check-ins. <p>I’m sorry to hear about your current situation.",counselchat_app_voice
"sleep_avg_3=3.73 mood_avg_3=2.66 sleep_slope=-0.129 mood_slope=0.020 risk=70.43 trend=-0.167 user_text=I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. I’m also noticing increased irritability and experiencin","Low sleep is the main concern right now, so prioritize rest structure and recovery habits. <p>Hi there.",counselchat_app_voice
"sleep_avg_3=5.03 mood_avg_3=2.21 sleep_slope=0.233 mood_slope=-0.007 risk=45.00 trend=-0.230 user_text=The last of my emotions belong to my pets. Today my dad said he might get rid of them tomorrow. If that does happen I might dig hole in the ground with a paper that says ""here lays my emotions. R.I.P."" I practically have","Current pattern appears stable, with no major short-term disruption. <p>It sounds to me like you have had a lot going on and now you are afraid you are going to lose the last things you car.",counselchat_app_voice
sleep_avg_3=6.06 mood_avg_3=3.82 sleep_slope=0.167 mood_slope=-0.282 risk=55.71 trend=-0.056 user_text=Me and my girlfriend just broke up. She said she loves me but is not in love anymore. This came out of nowhere. We seemed so happy together. It all started when she went to Missouri to visit her family. The first week sh,"Current pattern appears stable, with no major short-term disruption. <p>I am sorry to hear of these troubles.",counselchat_app_voice
sleep_avg_3=6.80 mood_avg_3=1.89 sleep_slope=0.121 mood_slope=0.063 risk=72.34 trend=-0.148 user_text=Now I have anger and trust issues. How can I treat this and fix myself?,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>I will assume that for whatever reason, you either do not want to or are not able to seek counseling for this.",counselchat_app_voice
sleep_avg_3=6.61 mood_avg_3=3.71 sleep_slope=0.029 mood_slope=-0.120 risk=62.69 trend=-0.114 user_text=I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a seri,"Current pattern appears stable, with no major short-term disruption. <p>Hi there.",counselchat_app_voice
"sleep_avg_3=6.03 mood_avg_3=3.86 sleep_slope=0.315 mood_slope=-0.268 risk=38.62 trend=0.128 user_text=I have been with this guy on and off for 8 years. At first, we used to do things together and our sex life was ok. Then things started to change, we'd break up and reconnect, and he cheated on me numerous times. We've al","Current pattern appears stable, with no major short-term disruption. <p>I don't think you’ve lost something, I think you’ve found something - your breaking point, and it's about time.",counselchat_app_voice
"sleep_avg_3=5.11 mood_avg_3=1.83 sleep_slope=0.013 mood_slope=-0.242 risk=42.68 trend=0.237 user_text=My son claims that hes been having extremely violent thoughts and dreams. Not violent like he's hurting someone, but violent thoughts like horrible things happening to his loved ones. He explained one of his dreams the o","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Let me start my stating this is important to take seriously - taking to his PCP, getting a referral to a pediatric sp.",counselchat_app_voice
"sleep_avg_3=3.20 mood_avg_3=1.48 sleep_slope=-0.564 mood_slope=-0.202 risk=85.64 trend=-0.236 user_text=Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving in with her since I get so anxious.","Current pattern suggests high risk, and close support is recommended in the near term. <p><span>I’m sorry to hear that you are currently experiencing panic attacks.",counselchat_app_voice
sleep_avg_3=5.76 mood_avg_3=2.51 sleep_slope=-0.041 mood_slope=-0.132 risk=74.57 trend=0.113 user_text=I need to get on base to see my doctor. My ID card was in my wallet which was stolen. I’m unable to reach my husband at this time. He is only one who can take me on base in order to get a new ID so I can continue to see ,"Current pattern appears stable, with no major short-term disruption. <p>Do you have any other form of identification? The first place to stop would be the Visitor’s Center or whichever depa.",counselchat_app_voice
"sleep_avg_3=6.28 mood_avg_3=2.69 sleep_slope=0.096 mood_slope=-0.229 risk=57.02 trend=-0.189 user_text=I’ve known my boyfriend for several years. We were friends for a long time. In 2013 we started a relationship, and he even asked me to move in with him since I lived out of state. I planned to move in with him in 2014 af","Current pattern appears stable, with no major short-term disruption. <ol></ol><p>There are plenty of red flags that you have been presented with:</p><ol><li>Several breakups </li><li><span>.",counselchat_app_voice
sleep_avg_3=6.05 mood_avg_3=2.40 sleep_slope=-0.024 mood_slope=0.279 risk=74.79 trend=0.141 user_text=I am going through a divorce from a narcissistic sociopath who left me for another woman after mentally and emotionally abusing me for 11 years. I have moved to a different state and after giving up my successful busines,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>I am very sorry to hear of your struggles.",counselchat_app_voice
"sleep_avg_3=5.19 mood_avg_3=3.52 sleep_slope=-0.017 mood_slope=-0.117 risk=41.89 trend=-0.019 user_text=I've been married for 3 years and I have two kids. During my 3-years married, my husband cheated on me twice. The second time really got to me and at my lowest I hurt him back. We aren't communicating as well as I would ","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Hi there.",counselchat_app_voice
sleep_avg_3=5.55 mood_avg_3=2.25 sleep_slope=0.124 mood_slope=0.024 risk=48.57 trend=-0.281 user_text=I have been with my husband for almost 7 years. We got engaged a little after 5 years of being together. I had always been clear that I wanted to get married and I sadly would drop hints about how i wanted him to propose,"Current pattern appears stable, with no major short-term disruption. <p>It's hard to let go of the dreams you had regarding your wedding and engagement.",counselchat_app_voice
sleep_avg_3=4.15 mood_avg_3=2.33 sleep_slope=-0.049 mood_slope=0.123 risk=59.11 trend=-0.275 user_text=What can I do to stop grieving my mother’s death? When I am awake I just cry every day. I don't have anyone to talk to. I need help; I am still cry over her. Will I ever stop crying? It’s been 3 years.,"Low sleep is the main concern right now, so prioritize rest structure and recovery habits. <p>I am sorry that you lost your mother.",counselchat_app_voice
sleep_avg_3=5.46 mood_avg_3=3.77 sleep_slope=0.236 mood_slope=0.054 risk=47.45 trend=0.080 user_text=I'm having issues with my relative. The police never believe the experiences I have been through because I am only a kid. I've even had trouble trying to reach a therapist because I said I wanted to get an adult to help ,"Current pattern appears stable, with no major short-term disruption. <p>I think it would be wise for you to call a hotline especially designed for children.",counselchat_app_voice
sleep_avg_3=7.63 mood_avg_3=1.43 sleep_slope=0.047 mood_slope=-0.231 risk=68.89 trend=-0.247 user_text=My wife just last week said she wants a divorce and it's all sudden. I understand that marriages have their ups and downs but I don't understand why she can't tell me why she wants a divorce. Should I fight for my family,"Low mood is the dominant concern in this window, so use gentle routines and supportive check-ins. <p>Chances are, if you really think about it, there were signs that something wasn’t quite right in your marriage.",counselchat_app_voice
sleep_avg_3=5.47 mood_avg_3=2.43 sleep_slope=-0.255 mood_slope=0.190 risk=59.84 trend=0.170 user_text=I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our apartment. I'm not handling it well. I moved to a new town and started a new life but nothing helps.,"Current pattern appears stable, with no major short-term disruption. <p>I am so sorry to hear of your boyfriend's passing.",counselchat_app_voice
sleep_avg_3=6.18 mood_avg_3=3.85 sleep_slope=0.067 mood_slope=0.299 risk=66.44 trend=0.074 user_text=I did some horrible sexual things as a kid and I regret everything. Can someone help me cope with myself? Can someone help me remember my past?,"Current pattern appears stable, with no major short-term disruption. <p>I'm very sorry to hear this.",counselchat_app_voice
"sleep_avg_3=5.30 mood_avg_3=1.81 sleep_slope=-0.172 mood_slope=-0.181 risk=74.90 trend=0.074 user_text=I have been with a guy for 4 years, he's a great guy and we also have a son together. The problem is that I'm in love with a guy that I've been talking to for about 2 years but I've never met him in person. Honestly I'm ","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Hi there.",counselchat_app_voice
sleep_avg_3=5.20 mood_avg_3=3.90 sleep_slope=-0.113 mood_slope=0.253 risk=36.30 trend=0.007 user_text=My boyfriend can't get over my promiscuous past. He says he loves me but says the thought of my past is disgusting and a sexual distraction. He says he should have had more sex with different people. I don't know how to ,"Current pattern appears stable, with no major short-term disruption. <p>I am sorry to hear of your relationship struggles.",counselchat_app_voice
sleep_avg_3=5.82 mood_avg_3=2.93 sleep_slope=-0.126 mood_slope=0.166 risk=44.59 trend=-0.068 user_text=What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always,"Current pattern appears stable, with no major short-term disruption. <p>I'm sorry you are feeling uncared for.",counselchat_app_voice
"sleep_avg_3=6.49 mood_avg_3=2.65 sleep_slope=0.217 mood_slope=-0.117 risk=37.44 trend=0.067 user_text=What makes my step child, an 8 year old boy, choke my daughter, a 6 year old girl? This has been going on for 4 years. The boy tells my daughter not to tell on him. He knows it's wrong; we have did time out, spanking, ta","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>I can see why you are alarmed.",counselchat_app_voice
sleep_avg_3=7.09 mood_avg_3=4.07 sleep_slope=0.214 mood_slope=0.135 risk=70.95 trend=0.039 user_text=I have this weird fetish that I'm afraid to open up about it. What should I do?,"Current pattern appears stable, with no major short-term disruption. <p>This is difficult to answer because you don’t tell us what the fetish is.",counselchat_app_voice
"sleep_avg_3=6.47 mood_avg_3=2.40 sleep_slope=-0.243 mood_slope=0.256 risk=62.69 trend=-0.206 user_text=My coworkers are making false statements about me to the boss, saying I have mood swings. They have no proof to back it up. Can my employer make me see a therapist of their choice?","Current pattern appears stable, with no major short-term disruption. <p>I can’t give you legal advice, but employers can suggest you see someone if your behavior is affecting your job.",counselchat_app_voice
sleep_avg_3=6.85 mood_avg_3=3.65 sleep_slope=-0.099 mood_slope=-0.049 risk=61.15 trend=0.241 user_text=I'm in a state of depression right now. Who can I talk to? I've been sick in a lot of pain and crying. Don't know where to turn.,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>First of all, if you’re sick and in pain, have you seen your doctor? If you have a chronic illness and pain, this can.",counselchat_app_voice
